Date,Close,ti
02-05-2019,1177.900024,223
03-05-2019,1183.969971,224
06-05-2019,1164.219971,225
07-05-2019,1161.180054,226
08-05-2019,1153.619995,227
09-05-2019,1145.449951,228
10-05-2019,1148.25,229
13-05-2019,1143.599976,230
14-05-2019,1143.949951,231
15-05-2019,1143.349976,232
16-05-2019,1155.319946,233
17-05-2019,1181.050049,234
20-05-2019,1216.180054,235
21-05-2019,1201.849976,236
22-05-2019,1202.880005,237
23-05-2019,1166.050049,238
24-05-2019,1186.680054,239
27-05-2019,1204.180054,240
28-05-2019,1208.099976,241
29-05-2019,1208.449951,242
30-05-2019,1219.780029,243
31-05-2019,1212.680054,244
03-06-2019,1228.550049,245
04-06-2019,1226.150024,246
06-06-2019,1211.680054,247
07-06-2019,1223.819946,248
10-06-2019,1220.099976,249
11-06-2019,1224.199951,250
12-06-2019,1213.530029,251
13-06-2019,1222.349976,252
14-06-2019,1217.550049,253
17-06-2019,1211,254
18-06-2019,1208.619995,255
19-06-2019,1214.180054,256
20-06-2019,1213.180054,257
21-06-2019,1207.099976,258
24-06-2019,1208.969971,259
25-06-2019,1214.349976,260
26-06-2019,1233.949951,261
27-06-2019,1231.150024,262
28-06-2019,1221.880005,263
01-07-2019,1242.780029,264
02-07-2019,1247.5,265
03-07-2019,1244.819946,266
04-07-2019,1241.900024,267
05-07-2019,1236.199951,268
08-07-2019,1204.800049,269
09-07-2019,1189.569946,270
10-07-2019,1194.380005,271
11-07-2019,1203.569946,272
12-07-2019,1196.949951,273
15-07-2019,1197.380005,274
16-07-2019,1195.599976,275
17-07-2019,1198.719971,276
18-07-2019,1205.949951,277
19-07-2019,1187.819946,278
22-07-2019,1148.619995,279
23-07-2019,1131.75,280
24-07-2019,1140.449951,281
25-07-2019,1143.030029,282
26-07-2019,1138.650024,283
29-07-2019,1122.150024,284
30-07-2019,1126.119995,285
31-07-2019,1125.819946,286
01-08-2019,1110.900024,287
02-08-2019,1107.180054,288
05-08-2019,1089.619995,289
06-08-2019,1094.550049,290
07-08-2019,1092,291
08-08-2019,1116.569946,292
09-08-2019,1141,293
13-08-2019,1110.180054,294
14-08-2019,1114.719971,295
16-08-2019,1113.849976,296
19-08-2019,1103.430054,297
20-08-2019,1110.300049,298
21-08-2019,1112.930054,299
22-08-2019,1087.050049,300
23-08-2019,1081.349976,301
26-08-2019,1128.069946,302
27-08-2019,1129.969971,303
28-08-2019,1123.75,304
29-08-2019,1113.469971,305
30-08-2019,1113.969971,306
03-09-2019,1105.469971,307
